geoid,population,median_hh_income,poverty_total,poverty_below,total_households,snap_households
48201341800,2612.0,99408.0,2612.0,484.0,989.0,182.0
48201343302,4927.0,110595.0,4927.0,313.0,1910.0,98.0
48201410402,3044.0,180000.0,3044.0,143.0,1404.0,31.0
48201421401,3347.0,36451.0,3347.0,1155.0,1326.0,350.0
48201422302,2106.0,87568.0,2106.0,293.0,988.0,131.0
48201423401,4767.0,69792.0,4745.0,580.0,1754.0,367.0
48201423402,4597.0,59583.0,4565.0,557.0,1433.0,335.0
48201431302,4324.0,82545.0,4324.0,318.0,1833.0,41.0
48201450801,2244.0,79193.0,2244.0,308.0,1021.0,65.0
48201451700,4976.0,60417.0,4976.0,900.0,1912.0,379.0
48201451800,5758.0,77727.0,5758.0,929.0,1834.0,229.0
48201451902,2520.0,127014.0,2520.0,232.0,893.0,74.0
48201452202,3123.0,65574.0,3123.0,378.0,1703.0,237.0
48201453403,3977.0,33510.0,3905.0,1659.0,1461.0,239.0
48201453501,5876.0,53196.0,5876.0,931.0,2053.0,420.0
48201453502,3616.0,61264.0,3603.0,891.0,1053.0,237.0
48201453601,1596.0,57862.0,1596.0,471.0,475.0,144.0
48201454302,5877.0,73447.0,5877.0,686.0,2114.0,396.0
48201522401,6023.0,78125.0,6023.0,789.0,2445.0,234.0
48201522402,3862.0,73571.0,3790.0,761.0,1180.0,202.0
48201533702,3261.0,54840.0,3261.0,631.0,870.0,156.0
48201540601,4133.0,91406.0,4133.0,469.0,1249.0,96.0
48201540602,7518.0,94141.0,7498.0,1089.0,2381.0,230.0
48201551702,4086.0,120509.0,4086.0,83.0,1481.0,0.0
48201554501,6542.0,150250.0,6535.0,296.0,2305.0,57.0
48201554902,11291.0,111741.0,11208.0,446.0,4093.0,149.0
48201555301,5032.0,138208.0,5023.0,165.0,1789.0,127.0
48201221302,3464.0,52739.0,3327.0,363.0,903.0,50.0
48201311501,2464.0,61212.0,2464.0,361.0,976.0,105.0
48201311502,2610.0,35455.0,2610.0,1063.0,1038.0,195.0
48201320700,3397.0,48984.0,3383.0,595.0,1479.0,422.0
48201320800,4740.0,54241.0,4738.0,1248.0,1612.0,248.0
48201333100,3567.0,36715.0,3453.0,1040.0,1415.0,370.0
48201333203,2171.0,45907.0,2079.0,274.0,951.0,131.0
48201333600,3219.0,70868.0,3168.0,206.0,1005.0,150.0
48201333700,4138.0,64841.0,4138.0,589.0,1220.0,159.0
48201341203,2698.0,61250.0,2698.0,309.0,1218.0,68.0
48201410300,3821.0,100657.0,3748.0,342.0,2645.0,0.0
48201410900,3565.0,109067.0,3565.0,230.0,2100.0,133.0
48201412700,3144.0,140417.0,3135.0,156.0,1227.0,35.0
48201412800,5026.0,250001.0,5026.0,76.0,1555.0,27.0
48201413100,3346.0,250001.0,3343.0,87.0,1160.0,20.0
48201420200,2490.0,61389.0,2490.0,628.0,1038.0,94.0
48201420300,4005.0,106465.0,4005.0,275.0,1609.0,85.0
48201420500,3527.0,37288.0,3480.0,890.0,1313.0,328.0
48201422100,5004.0,101238.0,5004.0,275.0,2233.0,8.0
48201430200,1609.0,82434.0,1562.0,147.0,757.0,58.0
48201430300,4390.0,250001.0,4390.0,122.0,1559.0,0.0
48201430400,3097.0,250001.0,3097.0,31.0,1069.0,10.0
48201430500,2291.0,223750.0,2291.0,98.0,898.0,22.0
48201430600,3838.0,250001.0,3838.0,171.0,1169.0,0.0
48201430700,3831.0,88870.0,3831.0,142.0,1866.0,34.0
48201430800,6492.0,155388.0,6470.0,407.0,2629.0,3.0
48201430900,5559.0,85767.0,5559.0,348.0,2787.0,0.0
48201453300,4680.0,36256.0,4680.0,1262.0,1664.0,596.0
